transaction_id,branch,client_id,client_name,transaction_date,amount,currency,narrative,label
TXN00018,Mombasa,CL421,Client_18,2022-12-30,673318.08,KES,Customer activity consistent with historical pattern over last 12 months.,Compliant
TXN00019,Kisumu,CL852,Client_19,2024-10-02,648734.18,KES,Third-party deposits followed by immediate outward remittances.,Non-Compliant
TXN00020,Kisumu,CL936,Client_20,2024-03-15,412061.0,KES,Multiple cash deposits just below reporting threshold over 3 days.,Non-Compliant
TXN00021,Eldoret,CL658,Client_21,2023-01-04,5493542.62,KES,Frequent transfers to M-Pesa agents; smurfing suspected.,Non-Compliant
TXN00022,Mombasa,CL916,Client_22,2023-08-20,461370.46,KES,Incoming payment from verified business partner; documentation reviewed.,Compliant
TXN00023,Mombasa,CL242,Client_23,2023-09-13,566521.18,KES,Customer activity consistent with historical pattern over last 12 months.,Compliant
TXN00024,Westlands,CL832,Client_24,2024-05-16,199321.88,KES,Salary deposit verified with updated KYC; payslips on file.,Compliant
TXN00025,Mombasa,CL712,Client_25,2024-09-08,899914.96,KES,Round-dollar transfers to high-risk jurisdiction; purpose unclear.,Non-Compliant
TXN00026,Nairobi_Main,CL909,Client_26,2024-01-07,583993.9,KES,Salary deposit verified with updated KYC; payslips on file.,Compliant
TXN00027,Westlands,CL773,Client_27,2023-12-29,241422.67,KES,FX purchase supported by trade documents and tax compliance certificate.,Compliant
TXN00028,Nairobi_Main,CL676,Client_28,2024-03-29,702913.14,KES,Incoming payment from verified business partner; documentation reviewed.,Compliant
TXN00029,Nairobi_Main,CL110,Client_29,2022-07-21,354886.36,KES,Domestic transfer to supplier with matching invoice and contract.,Compliant
TXN00030,Eldoret,CL864,Client_30,2024-11-28,1129714.64,KES,Frequent transfers to M-Pesa agents; smurfing suspected.,Non-Compliant
TXN00031,Mombasa,CL574,Client_31,2024-10-21,354621.17,KES,Customer activity consistent with historical pattern over last 12 months.,Compliant
TXN00032,Nairobi_Main,CL594,Client_32,2022-08-03,7779871.4,KES,Round-dollar transfers to high-risk jurisdiction; purpose unclear.,Non-Compliant
TXN00033,Nairobi_Main,CL951,Client_33,2022-10-18,1451129.1,KES,Dormant account reactivated with high-value transfers to UK.,Non-Compliant
TXN00034,Mombasa,CL903,Client_34,2023-02-28,257713.13,KES,Customer activity consistent with historical pattern over last 12 months.,Compliant
TXN00035,Mombasa,CL199,Client_35,2024-06-16,961049.73,KES,Customer activity consistent with historical pattern over last 12 months.,Compliant
TXN00036,Nairobi_Main,CL407,Client_36,2022-04-02,229902.24,KES,Salary deposit verified with updated KYC; payslips on file.,Compliant
TXN00037,Kisumu,CL763,Client_37,2022-08-12,1772634.18,KES,Customer refused to provide source of funds documentation.,Non-Compliant
TXN00038,Westlands,CL665,Client_38,2022-11-24,137067.79,KES,FX purchase supported by trade documents and tax compliance certificate.,Compliant
TXN00039,Mombasa,CL573,Client_39,2023-04-20,213260.51,KES,Domestic transfer to supplier with matching invoice and contract.,Compliant
TXN00040,Westlands,CL755,Client_40,2024-06-04,620203.46,KES,Salary deposit verified with updated KYC; payslips on file.,Compliant
TXN00041,Eldoret,CL302,Client_41,2024-07-09,906119.62,KES,Incoming payment from verified business partner; documentation reviewed.,Compliant
TXN00042,Nairobi_Main,CL821,Client_42,2023-03-16,1713813.31,KES,Dormant account reactivated with high-value transfers to Hong Kong.,Non-Compliant
TXN00043,Eldoret,CL204,Client_43,2023-01-18,498344.16,KES,Customer activity consistent with historical pattern over last 12 months.,Compliant
TXN00044,Westlands,CL568,Client_44,2022-08-22,1120187.54,KES,Frequent transfers to M-Pesa agents; smurfing suspected.,Non-Compliant
TXN00045,Kisumu,CL711,Client_45,2024-03-06,388221.06,KES,Multiple cash deposits just below reporting threshold over 3 days.,Non-Compliant
TXN00046,Kisumu,CL965,Client_46,2024-07-26,326475.13,KES,Customer activity consistent with historical pattern over last 12 months.,Compliant
TXN00047,Eldoret,CL704,Client_47,2022-06-23,391426.43,KES,Customer activity consistent with historical pattern over last 12 months.,Compliant
TXN00048,Nairobi_Main,CL344,Client_48,2023-09-18,1132553.71,KES,Domestic transfer to supplier with matching invoice and contract.,Compliant
TXN00049,Kisumu,CL810,Client_49,2022-10-17,687304.57,KES,Incoming payment from verified business partner; documentation reviewed.,Compliant
TXN00050,Eldoret,CL241,Client_50,2024-02-25,300518.28,KES,Rapid withdrawals inconsistent with customer profile; STR recommended.,Non-Compliant
TXN00051,Eldoret,CL810,Client_51,2022-12-21,1966322.44,KES,Frequent transfers to M-Pesa agents; smurfing suspected.,Non-Compliant
TXN00052,Westlands,CL291,Client_52,2023-10-07,412686.05,KES,FX purchase supported by trade documents and tax compliance certificate.,Compliant
TXN00053,Nairobi_Main,CL986,Client_53,2024-01-06,336433.1,KES,Incoming payment from verified business partner; documentation reviewed.,Compliant
TXN00054,Westlands,CL299,Client_54,2024-02-26,2547208.62,KES,Round-dollar transfers to high-risk jurisdiction; purpose unclear.,Non-Compliant
TXN00055,Mombasa,CL827,Client_55,2024-06-28,3715038.39,KES,Rapid withdrawals inconsistent with customer profile; STR recommended.,Non-Compliant
TXN00056,Eldoret,CL131,Client_56,2023-03-28,1037055.58,KES,Salary deposit verified with updated KYC; payslips on file.,Compliant
TXN00057,Kisumu,CL330,Client_57,2023-08-15,300303.15,KES,Incoming payment from verified business partner; documentation reviewed.,Compliant
TXN00058,Eldoret,CL860,Client_58,2024-10-11,435195.81,KES,FX purchase supported by trade documents and tax compliance certificate.,Compliant
TXN00059,Nairobi_Main,CL374,Client_59,2024-01-22,681386.11,KES,Incoming payment from verified business partner; documentation reviewed.,Compliant
TXN00060,Eldoret,CL323,Client_60,2024-05-20,3534175.58,KES,Customer refused to provide source of funds documentation.,Non-Compliant
TXN00061,Nairobi_Main,CL560,Client_61,2023-06-23,386380.55,KES,Salary deposit verified with updated KYC; payslips on file.,Compliant
TXN00062,Mombasa,CL986,Client_62,2022-08-29,474510.35,KES,Domestic transfer to supplier with matching invoice and contract.,Compliant
TXN00063,Eldoret,CL805,Client_63,2023-12-20,249088.99,KES,Domestic transfer to supplier with matching invoice and contract.,Compliant
TXN00064,Eldoret,CL242,Client_64,2023-02-28,500525.61,KES,Large transfer to foreign account in UK without updated KYC.,Non-Compliant
TXN00065,Eldoret,CL387,Client_65,2022-12-11,954333.12,KES,Customer activity consistent with historical pattern over last 12 months.,Compliant
TXN00066,Kisumu,CL686,Client_66,2023-07-02,4978384.63,KES,Rapid withdrawals inconsistent with customer profile; STR recommended.,Non-Compliant
TXN00067,Nairobi_Main,CL383,Client_67,2022-09-17,1376687.61,KES,Customer refused to provide source of funds documentation.,Non-Compliant
TXN00068,Kisumu,CL948,Client_68,2023-05-22,1090855.74,KES,Incoming payment from verified business partner; documentation reviewed.,Compliant
TXN00069,Westlands,CL691,Client_69,2023-07-05,2033913.69,KES,Round-dollar transfers to high-risk jurisdiction; purpose unclear.,Non-Compliant
TXN00070,Nairobi_Main,CL748,Client_70,2022-07-10,821914.97,KES,Dormant account reactivated with high-value transfers to UK.,Non-Compliant
TXN00071,Mombasa,CL599,Client_71,2023-11-02,2033473.65,KES,Multiple cash deposits just below reporting threshold over 3 days.,Non-Compliant
TXN00072,Kisumu,CL970,Client_72,2022-05-10,5863357.27,KES,Customer refused to provide source of funds documentation.,Non-Compliant
TXN00073,Westlands,CL606,Client_73,2023-07-04,526982.05,KES,Customer activity consistent with historical pattern over last 12 months.,Compliant
TXN00074,Kisumu,CL660,Client_74,2022-09-25,1615654.28,KES,Customer activity consistent with historical pattern over last 12 months.,Compliant
TXN00075,Nairobi_Main,CL147,Client_75,2022-07-23,139000.03,KES,Large transfer to foreign account in Hong Kong without updated KYC.,Non-Compliant
TXN00076,Westlands,CL551,Client_76,2024-07-23,960617.66,KES,Incoming payment from verified business partner; documentation reviewed.,Compliant
TXN00077,Westlands,CL805,Client_77,2022-09-28,1588566.13,KES,Rapid withdrawals inconsistent with customer profile; STR recommended.,Non-Compliant
TXN00078,Nairobi_Main,CL770,Client_78,2024-01-09,1122303.0,KES,Multiple cash deposits just below reporting threshold over 3 days.,Non-Compliant
TXN00079,Westlands,CL153,Client_79,2024-03-22,576212.93,KES,Domestic transfer to supplier with matching invoice and contract.,Compliant
TXN00080,Mombasa,CL771,Client_80,2022-07-06,245533.33,KES,Large transfer to foreign account in Cyprus without updated KYC.,Non-Compliant
TXN00081,Mombasa,CL179,Client_81,2022-09-29,463346.15,KES,FX purchase supported by trade documents and tax compliance certificate.,Compliant
TXN00082,Mombasa,CL109,Client_82,2022-01-17,693827.6,KES,Salary deposit verified with updated KYC; payslips on file.,Compliant
TXN00083,Mombasa,CL810,Client_83,2022-09-28,1520463.58,KES,Salary deposit verified with updated KYC; payslips on file.,Compliant
TXN00084,Westlands,CL492,Client_84,2022-07-02,375949.78,KES,Salary deposit verified with updated KYC; payslips on file.,Compliant
TXN00085,Kisumu,CL476,Client_85,2023-09-05,709528.37,KES,Round-dollar transfers to high-risk jurisdiction; purpose unclear.,Non-Compliant
TXN00086,Westlands,CL170,Client_86,2024-12-22,935109.26,KES,Rapid withdrawals inconsistent with customer profile; STR recommended.,Non-Compliant
TXN00087,Kisumu,CL839,Client_87,2023-03-13,3347960.48,KES,Round-dollar transfers to high-risk jurisdiction; purpose unclear.,Non-Compliant
TXN00088,Westlands,CL188,Client_88,2022-07-25,1974599.2,KES,Multiple cash deposits just below reporting threshold over 3 days.,Non-Compliant
TXN00089,Kisumu,CL539,Client_89,2023-10-07,372938.15,KES,Domestic transfer to supplier with matching invoice and contract.,Compliant
TXN00090,Kisumu,CL760,Client_90,2022-06-22,773969.08,KES,FX purchase supported by trade documents and tax compliance certificate.,Compliant
TXN00091,Eldoret,CL714,Client_91,2023-08-07,1602971.73,KES,Dormant account reactivated with high-value transfers to Cyprus.,Non-Compliant
TXN00092,Eldoret,CL721,Client_92,2024-11-09,1064538.04,KES,Incoming payment from verified business partner; documentation reviewed.,Compliant
TXN00093,Kisumu,CL761,Client_93,2022-04-22,330566.4,KES,Incoming payment from verified business partner; documentation reviewed.,Compliant
TXN00094,Mombasa,CL215,Client_94,2023-05-09,429611.46,KES,FX purchase supported by trade documents and tax compliance certificate.,Compliant
TXN00095,Nairobi_Main,CL640,Client_95,2022-01-25,410661.39,KES,Customer activity consistent with historical pattern over last 12 months.,Compliant
TXN00096,Westlands,CL496,Client_96,2024-05-11,193985.66,KES,FX purchase supported by trade documents and tax compliance certificate.,Compliant
TXN00097,Westlands,CL881,Client_97,2024-08-22,1917452.9,KES,Large transfer to foreign account in Hong Kong without updated KYC.,Non-Compliant
TXN00098,Nairobi_Main,CL368,Client_98,2023-03-18,648708.47,KES,Salary deposit verified with updated KYC; payslips on file.,Compliant
TXN00099,Mombasa,CL618,Client_99,2023-08-10,542302.6,KES,Incoming payment from verified business partner; documentation reviewed.,Compliant
TXN00100,Mombasa,CL184,Client_100,2022-11-09,458533.67,KES,Salary deposit verified with updated KYC; payslips on file.,Compliant
TXN00101,Kisumu,CL180,Client_101,2024-11-13,410925.14,KES,Rapid withdrawals inconsistent with customer profile; STR recommended.,Non-Compliant
TXN00102,Kisumu,CL500,Client_102,2022-05-16,402539.41,KES,Incoming payment from verified business partner; documentation reviewed.,Compliant
TXN00103,Westlands,CL159,Client_103,2023-05-16,1079012.61,KES,Round-dollar transfers to high-risk jurisdiction; purpose unclear.,Non-Compliant
TXN00104,Mombasa,CL726,Client_104,2022-04-23,308169.71,KES,Domestic transfer to supplier with matching invoice and contract.,Compliant
TXN00105,Nairobi_Main,CL112,Client_105,2022-10-09,482675.57,KES,Domestic transfer to supplier with matching invoice and contract.,Compliant
TXN00106,Mombasa,CL455,Client_106,2024-12-07,2113055.94,KES,Rapid withdrawals inconsistent with customer profile; STR recommended.,Non-Compliant
TXN00107,Westlands,CL867,Client_107,2023-07-05,2023481.56,KES,Salary deposit verified with updated KYC; payslips on file.,Compliant
TXN00108,Kisumu,CL926,Client_108,2024-05-29,1718770.95,KES,Multiple cash deposits just below reporting threshold over 3 days.,Non-Compliant
TXN00109,Eldoret,CL742,Client_109,2022-06-07,1852034.55,KES,Frequent transfers to M-Pesa agents; smurfing suspected.,Non-Compliant
TXN00110,Kisumu,CL156,Client_110,2024-10-20,512926.51,KES,Customer activity consistent with historical pattern over last 12 months.,Compliant
TXN00111,Westlands,CL361,Client_111,2022-07-30,141048.65,KES,Domestic transfer to supplier with matching invoice and contract.,Compliant
TXN00112,Eldoret,CL102,Client_112,2022-04-01,530428.41,KES,Domestic transfer to supplier with matching invoice and contract.,Compliant
TXN00113,Nairobi_Main,CL583,Client_113,2024-01-16,1550684.79,KES,Rapid withdrawals inconsistent with customer profile; STR recommended.,Non-Compliant
TXN00114,Nairobi_Main,CL666,Client_114,2024-05-08,13482699.48,KES,Third-party deposits followed by immediate outward remittances.,Non-Compliant
TXN00115,Mombasa,CL837,Client_115,2023-10-18,472289.45,KES,Salary deposit verified with updated KYC; payslips on file.,Compliant
TXN00116,Eldoret,CL481,Client_116,2022-09-02,667358.82,KES,Domestic transfer to supplier with matching invoice and contract.,Compliant
TXN00117,Westlands,CL923,Client_117,2024-11-22,527393.25,KES,Incoming payment from verified business partner; documentation reviewed.,Compliant
TXN00118,Nairobi_Main,CL998,Client_118,2024-08-10,238452.49,KES,Customer activity consistent with historical pattern over last 12 months.,Compliant
TXN00119,Kisumu,CL188,Client_119,2024-07-24,1202575.39,KES,Customer activity consistent with historical pattern over last 12 months.,Compliant
TXN00120,Westlands,CL398,Client_120,2023-09-15,914701.56,KES,Incoming payment from verified business partner; documentation reviewed.,Compliant
TXN00121,Kisumu,CL705,Client_121,2024-10-07,940081.98,KES,FX purchase supported by trade documents and tax compliance certificate.,Compliant
TXN00122,Westlands,CL254,Client_122,2022-01-14,285908.98,KES,Salary deposit verified with updated KYC; payslips on file.,Compliant
TXN00123,Westlands,CL654,Client_123,2023-12-11,1442597.72,KES,Customer activity consistent with historical pattern over last 12 months.,Compliant
TXN00124,Nairobi_Main,CL877,Client_124,2024-02-10,415955.7,KES,Multiple cash deposits just below reporting threshold over 3 days.,Non-Compliant
TXN00125,Eldoret,CL343,Client_125,2024-05-09,814883.12,KES,Salary deposit verified with updated KYC; payslips on file.,Compliant
TXN00126,Westlands,CL828,Client_126,2023-07-28,10547612.23,KES,Large transfer to foreign account in Cyprus without updated KYC.,Non-Compliant
TXN00127,Eldoret,CL522,Client_127,2024-02-02,270120.81,KES,Salary deposit verified with updated KYC; payslips on file.,Compliant
TXN00128,Eldoret,CL197,Client_128,2024-11-01,363520.72,KES,Incoming payment from verified business partner; documentation reviewed.,Compliant
TXN00129,Nairobi_Main,CL706,Client_129,2022-05-08,579404.4,KES,Domestic transfer to supplier with matching invoice and contract.,Compliant
TXN00130,Westlands,CL398,Client_130,2023-06-19,379863.42,KES,Incoming payment from verified business partner; documentation reviewed.,Compliant
TXN00131,Kisumu,CL425,Client_131,2024-07-16,182505.5,KES,Domestic transfer to supplier with matching invoice and contract.,Compliant
TXN00132,Nairobi_Main,CL307,Client_132,2022-10-06,1562357.85,KES,Rapid withdrawals inconsistent with customer profile; STR recommended.,Non-Compliant
TXN00133,Westlands,CL560,Client_133,2024-08-12,256885.93,KES,Incoming payment from verified business partner; documentation reviewed.,Compliant
TXN00134,Nairobi_Main,CL648,Client_134,2024-01-04,752769.76,KES,Incoming payment from verified business partner; documentation reviewed.,Compliant
TXN00135,Kisumu,CL574,Client_135,2023-06-27,283907.29,KES,Salary deposit verified with updated KYC; payslips on file.,Compliant
TXN00136,Westlands,CL926,Client_136,2023-09-16,1599104.09,KES,Domestic transfer to supplier with matching invoice and contract.,Compliant
TXN00137,Kisumu,CL251,Client_137,2022-07-06,312300.98,KES,Customer activity consistent with historical pattern over last 12 months.,Compliant
TXN00138,Mombasa,CL625,Client_138,2022-04-11,431299.03,KES,Customer activity consistent with historical pattern over last 12 months.,Compliant
TXN00139,Westlands,CL131,Client_139,2024-04-08,954995.64,KES,FX purchase supported by trade documents and tax compliance certificate.,Compliant
TXN00140,Eldoret,CL355,Client_140,2022-07-13,228295.24,KES,Salary deposit verified with updated KYC; payslips on file.,Compliant
TXN00141,Westlands,CL224,Client_141,2022-01-25,633630.94,KES,Domestic transfer to supplier with matching invoice and contract.,Compliant
TXN00142,Westlands,CL302,Client_142,2024-03-31,1349169.71,KES,Salary deposit verified with updated KYC; payslips on file.,Compliant
TXN00143,Eldoret,CL700,Client_143,2023-06-15,175389.02,KES,Salary deposit verified with updated KYC; payslips on file.,Compliant
TXN00144,Nairobi_Main,CL302,Client_144,2024-06-27,614917.69,KES,Salary deposit verified with updated KYC; payslips on file.,Compliant
TXN00145,Kisumu,CL225,Client_145,2022-03-29,648176.27,KES,Salary deposit verified with updated KYC; payslips on file.,Compliant
TXN00146,Westlands,CL687,Client_146,2024-06-06,934041.37,KES,Incoming payment from verified business partner; documentation reviewed.,Compliant
TXN00147,Nairobi_Main,CL491,Client_147,2024-05-23,227324.66,KES,Customer activity consistent with historical pattern over last 12 months.,Compliant
TXN00148,Westlands,CL291,Client_148,2023-07-18,214417.51,KES,Incoming payment from verified business partner; documentation reviewed.,Compliant
TXN00149,Westlands,CL135,Client_149,2023-05-19,778682.83,KES,Incoming payment from verified business partner; documentation reviewed.,Compliant
TXN00150,Mombasa,CL663,Client_150,2024-09-08,665230.76,KES,Salary deposit verified with updated KYC; payslips on file.,Compliant
TXN00151,Kisumu,CL492,Client_151,2022-10-09,1840308.11,KES,Customer refused to provide source of funds documentation.,Non-Compliant
TXN00152,Westlands,CL745,Client_152,2022-02-09,688667.43,KES,Customer activity consistent with historical pattern over last 12 months.,Compliant
TXN00153,Mombasa,CL657,Client_153,2024-09-19,335703.19,KES,FX purchase supported by trade documents and tax compliance certificate.,Compliant
TXN00154,Eldoret,CL429,Client_154,2024-03-06,635760.75,KES,Domestic transfer to supplier with matching invoice and contract.,Compliant
TXN00155,Nairobi_Main,CL426,Client_155,2023-03-25,663411.49,KES,Customer activity consistent with historical pattern over last 12 months.,Compliant
TXN00156,Nairobi_Main,CL928,Client_156,2024-08-24,772265.53,KES,Customer refused to provide source of funds documentation.,Non-Compliant
TXN00157,Nairobi_Main,CL353,Client_157,2023-05-09,7874947.37,KES,Large transfer to foreign account in Cyprus without updated KYC.,Non-Compliant
TXN00158,Eldoret,CL966,Client_158,2024-03-06,752896.5,KES,Domestic transfer to supplier with matching invoice and contract.,Compliant
TXN00159,Westlands,CL342,Client_159,2023-10-14,234705.67,KES,FX purchase supported by trade documents and tax compliance certificate.,Compliant
TXN00160,Nairobi_Main,CL820,Client_160,2023-12-22,855625.04,KES,FX purchase supported by trade documents and tax compliance certificate.,Compliant
TXN00161,Westlands,CL956,Client_161,2024-10-05,610959.83,KES,Rapid withdrawals inconsistent with customer profile; STR recommended.,Non-Compliant
TXN00162,Nairobi_Main,CL192,Client_162,2022-04-26,937487.99,KES,FX purchase supported by trade documents and tax compliance certificate.,Compliant
TXN00163,Westlands,CL120,Client_163,2024-12-14,1215926.51,KES,Salary deposit verified with updated KYC; payslips on file.,Compliant
TXN00164,Kisumu,CL728,Client_164,2023-02-17,304224.86,KES,Customer activity consistent with historical pattern over last 12 months.,Compliant
TXN00165,Westlands,CL921,Client_165,2023-10-25,3495680.13,KES,Large transfer to foreign account in Mauritius without updated KYC.,Non-Compliant
TXN00166,Eldoret,CL821,Client_166,2022-10-18,721398.27,KES,FX purchase supported by trade documents and tax compliance certificate.,Compliant
TXN00167,Kisumu,CL174,Client_167,2024-02-05,3078195.62,KES,Multiple cash deposits just below reporting threshold over 3 days.,Non-Compliant
TXN00168,Kisumu,CL430,Client_168,2022-10-07,2038561.74,KES,Incoming payment from verified business partner; documentation reviewed.,Compliant
TXN00169,Mombasa,CL764,Client_169,2023-10-12,455079.91,KES,FX purchase supported by trade documents and tax compliance certificate.,Compliant
TXN00170,Eldoret,CL905,Client_170,2024-01-01,745371.07,KES,Rapid withdrawals inconsistent with customer profile; STR recommended.,Non-Compliant
TXN00171,Kisumu,CL851,Client_171,2023-08-27,289914.08,KES,Domestic transfer to supplier with matching invoice and contract.,Compliant
TXN00172,Nairobi_Main,CL818,Client_172,2024-03-12,305264.17,KES,Domestic transfer to supplier with matching invoice and contract.,Compliant
TXN00173,Eldoret,CL425,Client_173,2023-03-29,511973.84,KES,Incoming payment from verified business partner; documentation reviewed.,Compliant
TXN00174,Westlands,CL439,Client_174,2022-06-09,1996760.7,KES,Third-party deposits followed by immediate outward remittances.,Non-Compliant
TXN00175,Westlands,CL751,Client_175,2022-07-01,655847.49,KES,Incoming payment from verified business partner; documentation reviewed.,Compliant
TXN00176,Nairobi_Main,CL371,Client_176,2023-03-06,964175.18,KES,Salary deposit verified with updated KYC; payslips on file.,Compliant
TXN00177,Kisumu,CL362,Client_177,2022-08-10,545305.42,KES,Salary deposit verified with updated KYC; payslips on file.,Compliant
TXN00178,Mombasa,CL548,Client_178,2024-05-09,1494756.47,KES,Incoming payment from verified business partner; documentation reviewed.,Compliant
TXN00179,Mombasa,CL487,Client_179,2023-12-21,1157541.42,KES,Multiple cash deposits just below reporting threshold over 3 days.,Non-Compliant
TXN00180,Eldoret,CL766,Client_180,2023-04-07,16990284.69,KES,Frequent transfers to M-Pesa agents; smurfing suspected.,Non-Compliant
TXN00181,Nairobi_Main,CL401,Client_181,2022-02-11,837324.65,KES,Customer activity consistent with historical pattern over last 12 months.,Compliant
TXN00182,Nairobi_Main,CL175,Client_182,2023-12-02,296555.51,KES,Incoming payment from verified business partner; documentation reviewed.,Compliant
TXN00183,Westlands,CL849,Client_183,2022-06-03,560282.7,KES,Third-party deposits followed by immediate outward remittances.,Non-Compliant
TXN00184,Nairobi_Main,CL541,Client_184,2022-12-04,2267583.25,KES,Rapid withdrawals inconsistent with customer profile; STR recommended.,Non-Compliant
TXN00185,Nairobi_Main,CL439,Client_185,2023-02-25,462118.23,KES,Incoming payment from verified business partner; documentation reviewed.,Compliant
TXN00186,Eldoret,CL839,Client_186,2023-06-28,890733.31,KES,Customer activity consistent with historical pattern over last 12 months.,Compliant
TXN00187,Westlands,CL198,Client_187,2022-04-12,2248814.76,KES,Frequent transfers to M-Pesa agents; smurfing suspected.,Non-Compliant
TXN00188,Nairobi_Main,CL469,Client_188,2022-01-08,513507.42,KES,Salary deposit verified with updated KYC; payslips on file.,Compliant
TXN00189,Kisumu,CL943,Client_189,2024-09-10,298714.75,KES,Salary deposit verified with updated KYC; payslips on file.,Compliant
TXN00190,Nairobi_Main,CL311,Client_190,2022-12-16,375734.29,KES,Multiple cash deposits just below reporting threshold over 3 days.,Non-Compliant
TXN00191,Nairobi_Main,CL415,Client_191,2024-03-25,982776.04,KES,Frequent transfers to M-Pesa agents; smurfing suspected.,Non-Compliant
TXN00192,Nairobi_Main,CL757,Client_192,2024-03-04,3174811.81,KES,Third-party deposits followed by immediate outward remittances.,Non-Compliant
TXN00193,Kisumu,CL291,Client_193,2024-07-01,627730.13,KES,Customer activity consistent with historical pattern over last 12 months.,Compliant
TXN00194,Mombasa,CL576,Client_194,2023-06-24,225930.53,KES,Customer activity consistent with historical pattern over last 12 months.,Compliant
TXN00195,Eldoret,CL163,Client_195,2022-11-06,610007.57,KES,Salary deposit verified with updated KYC; payslips on file.,Compliant
TXN00196,Kisumu,CL927,Client_196,2024-04-27,707662.22,KES,FX purchase supported by trade documents and tax compliance certificate.,Compliant
TXN00197,Nairobi_Main,CL960,Client_197,2024-03-03,291064.39,KES,FX purchase supported by trade documents and tax compliance certificate.,Compliant
TXN00198,Mombasa,CL686,Client_198,2023-04-28,601756.15,KES,Customer activity consistent with historical pattern over last 12 months.,Compliant
TXN00199,Nairobi_Main,CL504,Client_199,2022-03-13,562837.43,KES,Salary deposit verified with updated KYC; payslips on file.,Compliant
TXN00200,Mombasa,CL277,Client_200,2022-12-09,242782.39,KES,Domestic transfer to supplier with matching invoice and contract.,Compliant
TXN00201,Westlands,CL143,Client_201,2024-05-17,694155.41,KES,Incoming payment from verified business partner; documentation reviewed.,Compliant
TXN00202,Westlands,CL942,Client_202,2022-10-30,800145.74,KES,Customer activity consistent with historical pattern over last 12 months.,Compliant
TXN00203,Nairobi_Main,CL189,Client_203,2024-03-05,3893216.04,KES,Third-party deposits followed by immediate outward remittances.,Non-Compliant
TXN00204,Eldoret,CL569,Client_204,2022-01-26,1129924.57,KES,Salary deposit verified with updated KYC; payslips on file.,Compliant
TXN00205,Mombasa,CL253,Client_205,2022-10-31,206000.0,KES,Salary deposit verified with updated KYC; payslips on file.,Compliant
TXN00206,Eldoret,CL898,Client_206,2022-07-26,280273.86,KES,FX purchase supported by trade documents and tax compliance certificate.,Compliant
TXN00207,Kisumu,CL998,Client_207,2024-04-21,774927.45,KES,Incoming payment from verified business partner; documentation reviewed.,Compliant
TXN00208,Mombasa,CL685,Client_208,2024-08-26,774250.05,KES,Domestic transfer to supplier with matching invoice and contract.,Compliant
TXN00209,Kisumu,CL512,Client_209,2022-10-22,774934.18,KES,Salary deposit verified with updated KYC; payslips on file.,Compliant
TXN00210,Mombasa,CL439,Client_210,2023-05-02,8015694.93,KES,Incoming payment from verified business partner; documentation reviewed.,Compliant
TXN00211,Kisumu,CL481,Client_211,2022-02-11,805826.19,KES,Customer activity consistent with historical pattern over last 12 months.,Compliant
TXN00212,Kisumu,CL387,Client_212,2024-10-03,1196481.77,KES,Domestic transfer to supplier with matching invoice and contract.,Compliant
